bytes,response_time,request_type_dummy,endpoint_dummy,is_error,os_Mac OS X,os_Windows,os_iOS,d_Mac,d_OnePlus ONEPLUS A6000,d_Other,d_iPhone,b_Chrome Mobile,b_Edge,b_Edge Mobile,b_Firefox,b_Firefox Mobile,b_Mobile Safari,b_Opera,b_Opera Mobile,b_Safari
4944,803.205750781446,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5350,586.0709164063279,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4835,489.4652659774498,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4240,537.0918928753224,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5436,400.00392539806387,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4879,391.31562167481377,2,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4109,557.6511314716851,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4697,400.4702276211255,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4875,305.69148698135814,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5699,746.0527273368423,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5018,967.0993065781151,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5556,444.8288713552135,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5553,658.7987247024936,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4664,456.3210169451599,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5404,430.3475173958303,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4697,438.8128585894324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5451,1113.1666171207544,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5190,415.61051252245846,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3812,868.5576443207465,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5355,446.0552047742849,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5989,814.4445223365835,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4475,554.4344306459466,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5495,1033.2505435966518,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5295,818.5706600592164,3,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5025,471.576378487945,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4235,529.0712388856075,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4692,525.471816330695,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4809,386.1323314840702,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4380,693.4306380417086,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5056,669.1257011500778,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5109,685.4975129588672,1,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4874,652.0768730745174,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5226,434.8520527478796,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5509,569.2033605625414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4006,932.4382469491912,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5116,650.8727846734322,0,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4619,260.8510062097296,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6259,553.2582449554153,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4379,491.6432385734714,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4578,770.1186704188455,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3843,212.33788129245409,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4833,886.9825074084058,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4534,573.6686480445371,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4556,329.71052046903515,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5518,712.3907025875421,3,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5792,443.30767533713606,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4623,337.54726239028753,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4869,592.1366328949259,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5858,649.7681133371841,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5019,512.1395606544916,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4498,626.1167096858222,0,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4828,413.0880742853882,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5650,412.287152156533,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5951,621.9333992036087,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4852,476.70060616637585,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4531,839.6000642130032,3,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4528,332.3924236677028,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5881,525.3199548868325,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5654,544.6182798292178,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5160,665.3746066628728,0,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5555,274.12304207096815,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4719,476.94451000801445,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4657,718.0449621822909,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5240,422.4208668562768,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5217,475.9654749611836,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5850,692.957692886477,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4696,686.4125587896846,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4664,960.1499761791899,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5494,530.9455446952778,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4570,556.5017767806588,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5583,1104.6482929373099,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4842,963.4133877140321,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5419,1035.485824687386,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4031,991.2919413460728,3,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
